name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,2023-01-30,15.4,9.2,11.6,15.4,7.7,11.3,7.3,76.6,12.6,100,37.5,rain,0,0,27.7,11.6,77.4,1014,77.5,14.3,87.1,7.5,6,10,2023-01-30T06:51:35,2023-01-30T17:21:25,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,KSMO,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-01-31,19.3,7,12.5,19.3,7,12.5,-0.7,47.9,0,0,0,,0,0,71,10.9,349.5,1017.7,1.8,14.1,160.5,13.8,6,10,2023-01-31T06:50:54,2023-01-31T17:22:24,0.33,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-01,19.3,5.4,12.2,19.3,5.4,12.2,-2.5,40.2,0,0,0,,0,0,18.4,9.1,264.7,1020.8,0.7,16,103.7,9,4,10,2023-02-01T06:50:12,2023-02-01T17:23:24,0.37,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-02,20.6,6.9,13.3,20.6,6.9,13.3,-0.2,42.2,0,0,0,,0,0,14.8,7.9,261.3,1025.3,3.9,15.9,100.3,8.5,4,10,2023-02-02T06:49:28,2023-02-02T17:24:23,0.4,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-03,21.2,10.4,14.9,21.2,10.4,14.9,2.1,44,0,0,0,,0,0,14.8,9.2,281.2,1022.5,4.4,16,125.9,10.7,6,10,2023-02-03T06:48:42,2023-02-03T17:25:22,0.44,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-04,21.4,8.3,14.4,21.4,8.3,14.4,4.4,54.9,0,0,0,,0,0,13,9.4,246.3,1021,1.7,15.7,94.1,8,5,10,2023-02-04T06:47:56,2023-02-04T17:26:21,0.47,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-05,18.2,11.8,14.3,18.2,11.8,14.3,9,71.6,0.518,100,12.5,rain,0,0,50,25.9,247.2,1021.6,40.3,13.9,78.2,6.7,5,10,2023-02-05T06:47:07,2023-02-05T17:27:20,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-06,21.7,11.3,15.6,21.7,11.3,15.6,-1.5,33.2,0,0,0,,0,0,39,14.9,313.6,1021.9,3.5,16,117.5,10,5,10,2023-02-06T06:46:17,2023-02-06T17:28:19,0.54,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-07,20.3,8.1,14.6,20.3,8.1,14.6,0.5,40.8,0,0,0,,0,0,14.8,12.4,219.2,1023.6,1.6,15.6,117.6,9.9,5,10,2023-02-07T06:45:26,2023-02-07T17:29:17,0.57,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,SE428,AT259,72295603167,72288023152,F1624,72287493134"
los angeles,2023-02-08,22.5,8.7,15,22.5,8.7,15,2.3,45.6,0,0,0,,0,0,18.4,12.9,260.4,1023.2,1.3,16,113,9.6,5,10,2023-02-08T06:44:33,2023-02-08T17:30:15,0.61,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,72287493134"
los angeles,2023-02-09,26.3,9.6,17.4,26.3,9.6,17.4,0.8,37.1,0,0,0,,0,0,20.5,9.1,299,1022,0.2,16,114.4,9.8,5,10,2023-02-09T06:43:39,2023-02-09T17:31:13,0.64,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,AT259,72295603167,72288023152,72287493134"
